Order ID,Customer Name,Category,Sub-Category,Sales,Quantity,Profit
US-2015-150630,Tracy Blumstein,Office Supplies,Envelopes,3.264,2,1.1016
US-2015-150630,Tracy Blumstein,Office Supplies,Art,86.304,6,9.7092
US-2015-150630,Tracy Blumstein,Office Supplies,Binders,6.858,6,-5.715
US-2015-150630,Tracy Blumstein,Office Supplies,Art,15.76,2,3.546
CA-2017-107727,Matt Abelman,Office Supplies,Paper,29.472,3,9.9468
CA-2016-117590,Gene Hale,Technology,Phones,1097.544,7,123.4737
CA-2016-117590,Gene Hale,Furniture,Furnishings,190.92,5,-147.963
CA-2015-117415,Steve Nguyen,Office Supplies,Envelopes,113.328,9,35.415
CA-2015-117415,Steve Nguyen,Furniture,Bookcases,532.3992,3,-46.9764
CA-2015-117415,Steve Nguyen,Furniture,Chairs,212.058,3,-15.147
CA-2015-117415,Steve Nguyen,Technology,Phones,371.168,4,41.7564
CA-2017-120999,Linda Cazamias,Technology,Phones,147.168,4,16.5564
CA-2016-101343,Ruben Ausman,Office Supplies,Storage,77.88,2,3.894
CA-2017-139619,Erin Smith,Office Supplies,Storage,95.616,2,9.5616
CA-2016-118255,Odella Nelson,Technology,Accessories,45.98,2,19.7714
CA-2016-118255,Odella Nelson,Office Supplies,Binders,17.46,2,8.2062
CA-2014-146703,Patrick O'Donnell,Office Supplies,Storage,211.96,4,8.4784
CA-2016-169194,Lena Hernandez,Technology,Accessories,45.0,3,4.95
CA-2016-169194,Lena Hernandez,Technology,Phones,21.8,2,6.104
CA-2015-115742,Darren Powers,Office Supplies,Binders,38.22,6,17.9634
CA-2015-115742,Darren Powers,Office Supplies,Labels,75.18,6,35.3346
CA-2015-115742,Darren Powers,Furniture,Furnishings,6.16,2,2.9568
CA-2015-115742,Darren Powers,Furniture,Chairs,89.99,1,17.0981
CA-2016-105816,Janet Molinari,Office Supplies,Fasteners,15.26,7,6.2566
CA-2016-105816,Janet Molinari,Technology,Phones,1029.95,5,298.6855
CA-2016-111682,Ted Butterfield,Office Supplies,Storage,208.56,6,52.14
CA-2016-111682,Ted Butterfield,Office Supplies,Paper,32.4,5,15.552
CA-2016-111682,Ted Butterfield,Furniture,Chairs,319.41,5,7.098
CA-2016-111682,Ted Butterfield,Office Supplies,Paper,14.56,2,6.9888
CA-2016-111682,Ted Butterfield,Technology,Accessories,30.0,2,3.3
CA-2016-111682,Ted Butterfield,Office Supplies,Binders,48.48,4,16.362
CA-2016-111682,Ted Butterfield,Office Supplies,Art,1.68,1,0.84
CA-2015-135545,Kunst Miller,Technology,Accessories,13.98,2,6.1512
CA-2015-135545,Kunst Miller,Office Supplies,Binders,25.824,6,9.3612
CA-2015-135545,Kunst Miller,Office Supplies,Paper,146.73,3,68.9631
CA-2015-135545,Kunst Miller,Furniture,Furnishings,79.76,4,22.3328
US-2015-164175,Paul Stevenson,Furniture,Chairs,213.115,5,-15.2225
CA-2014-106376,Brendan Sweed,Office Supplies,Art,1113.024,8,111.3024
CA-2014-106376,Brendan Sweed,Technology,Phones,167.968,4,62.988
CA-2016-119823,Karen Daniels,Office Supplies,Paper,75.88,2,35.6636
CA-2016-106075,Henry MacAllister,Office Supplies,Binders,4.616,1,1.731
CA-2017-114440,Tracy Blumstein,Office Supplies,Paper,19.05,3,8.763
US-2015-134026,Joel Eaton,Furniture,Chairs,831.936,8,-114.3912
US-2015-134026,Joel Eaton,Furniture,Furnishings,97.04,2,1.213
US-2015-134026,Joel Eaton,Office Supplies,Storage,72.784,1,-18.196
US-2017-118038,Ken Brennan,Office Supplies,Binders,1.248,3,-1.9344
US-2017-118038,Ken Brennan,Furniture,Furnishings,9.708,3,-5.8248
US-2017-118038,Ken Brennan,Office Supplies,Storage,27.24,3,2.724
US-2014-147606,Joel Eaton,Furniture,Furnishings,19.3,5,-14.475
CA-2016-127208,Stewart Carmichael,Office Supplies,Appliances,208.16,1,56.2032
CA-2016-127208,Stewart Carmichael,Office Supplies,Binders,16.74,3,8.0352
CA-2014-139451,Duane Noonan,Office Supplies,Art,14.9,5,4.172
CA-2014-139451,Duane Noonan,Office Supplies,Storage,21.39,1,6.2031
CA-2015-149734,Julie Creighton,Office Supplies,Envelopes,200.984,7,62.8075
US-2017-119662,Christopher Schild,Office Supplies,Storage,230.376,3,-48.9549
CA-2017-140088,Patrick O'Donnell,Furniture,Chairs,301.96,2,33.2156
CA-2017-155558,Paul Gonzalez,Technology,Accessories,19.99,1,6.7966
CA-2017-155558,Paul Gonzalez,Office Supplies,Labels,6.16,2,2.9568
CA-2016-159695,Gary Mitchum,Office Supplies,Storage,158.368,7,13.8572
CA-2016-109806,Jim Sink,Office Supplies,Art,20.1,3,6.633
CA-2016-109806,Jim Sink,Technology,Phones,73.584,2,8.2782
CA-2016-109806,Jim Sink,Office Supplies,Paper,6.48,1,3.1104
CA-2015-149587,Karl Braun,Office Supplies,Paper,12.96,2,6.2208
CA-2015-149587,Karl Braun,Furniture,Furnishings,53.34,3,16.5354
CA-2015-149587,Karl Braun,Office Supplies,Binders,32.96,2,16.1504
US-2017-109484,Roger Barcio,Office Supplies,Binders,5.682,1,-3.788
CA-2017-161018,Parhena Norris,Furniture,Furnishings,96.53,7,40.5426
CA-2017-157833,Katherine Ducich,Office Supplies,Binders,51.312,3,17.9592
CA-2016-149223,Elpida Rittenbach,Office Supplies,Appliances,77.88,6,22.5852
CA-2016-158568,Rick Bensley,Office Supplies,Paper,64.624,7,22.6184
