customer_id,customer_name,total_sales
KH-16510,Keith Herrera,5952.859000000002
BF-11170,Ben Ferrer,5907.972
CP-12340,Christine Phan,5888.275000000001
BD-11320,Bill Donatelli,5718.521000000001
CS-12505,Cindy Stewart,5690.054999999999
AM-10705,Anne McFarland,5664.022
RB-19795,Ross Baird,5633.315999999999
KM-16375,Katherine Murray,5620.186
AA-10315,Alex Avila,5563.56
SM-20950,Suzanne McNair,5563.392
NP-18325,Naresj Patel,5529.62
AC-10450,Amy Cox,5527.8460000000005
MH-18115,Mick Hernandez,5503.092999999999
DP-13390,Dennis Pardue,5480.723999999999
EP-13915,Emily Phan,5478.0608
YC-21895,Yoseph Carroll,5454.35
SP-20620,Stefania Perrino,5440.319
LW-17215,Luke Weiss,5420.513999999999
CP-12085,Cathy Prescott,5402.253999999999
TS-21205,Thomas Seio,5371.09
TT-21460,Tonja Turnell,5364.808000000001
MW-18220,Mitch Webber,5341.9
TP-21415,Tom Prescott,5329.0048
TW-21025,Tamara Willingham,5278.825999999999
DW-13480,Dianna Wilson,5271.628
MW-18235,Mitch Willingham,5253.876
HR-14830,Harold Ryan,5248.786999999999
SC-20725,Steven Cartwright,5226.209999999998
RP-19390,Resi Pölking,5153.084
LR-16915,Lena Radford,5142.891999999999
MP-18175,Mike Pelletier,5087.92
AA-10645,Anna Andreadi,5086.935000000001
IL-15100,Ivan Liston,5040.736
KL-16555,Kelly Lampkin,5016.488000000001
LB-16795,Laurel Beltran,4985.676
DH-13075,Dave Hallsten,4932.871999999999
IM-15070,Irene Maddox,4930.473999999999
TT-21070,Ted Trevino,4915.602
KM-16720,Kunst Miller,4909.472000000001
PO-19180,Philisse Overcash,4893.043000000001
HK-14890,Heather Kirkland,4877.784
AJ-10780,Anthony Jacobs,4867.344
JK-15730,Joe Kamberova,4867.200000000001
AH-10210,Alan Hwang,4805.344
DK-13225,Dean Katz,4802.393999999999
RA-19915,Russell Applegate,4793.543000000001
SA-20830,Sue Ann Reed,4767.3415
JK-15640,Jim Kriz,4760.434000000001
BW-11110,Bart Watters,4750.357999999999
TB-21520,Tracy Blumstein,4737.486
GB-14575,Giulietta Baptist,4716.2880000000005
RB-19465,Rick Bensley,4715.466000000001
ES-14080,Erin Smith,4657.924
DB-13270,Deborah Brumfield,4655.897
KT-16480,Kean Thornton,4642.088400000001
SC-20050,Sample Company A,4624.572000000001
EM-14140,Eugene Moren,4588.436
DB-13060,Dave Brooks,4531.646000000002
AR-10825,Anthony Rawles,4523.335999999999
AG-10900,Arthur Gainer,4510.7970000000005
AJ-10795,Anthony Johnson,4501.391
LC-16930,Linda Cazamias,4492.946
SC-20770,Stewart Carmichael,4492.656999999999
TP-21130,Theone Pippenger,4454.056
MC-17425,Mark Cousins,4432.138
JK-15205,Jamie Kunitz,4427.142000000001
KW-16435,Katrina Willman,4416.52
BD-11500,Bradley Drucker,4411.243
AI-10855,Arianne Irving,4375.785999999999
SC-20230,Scot Coram,4371.9580000000005
EB-13840,Ellis Ballard,4358.128
GZ-14470,Gary Zandusky,4355.15
SR-20740,Steven Roelle,4345.8859999999995
ND-18370,Natalie DeCherney,4326.139
MA-17560,Matt Abelman,4299.160999999999
SP-20860,Sung Pak,4282.94
DK-12895,Dana Kaydos,4282.175999999999
RD-19480,Rick Duston,4272.93
TC-21295,Toby Carlisle,4266.812
AS-10225,Alan Schoenberger,4260.784000000001
FH-14275,Frank Hawley,4256.272
CB-12535,Claudia Bergmann,4246.4555
TH-21550,Tracy Hopkins,4234.0960000000005
BE-11335,Bill Eplett,4204.6759999999995
JF-15565,Jill Fjeld,4198.332
GH-14425,Gary Hwang,4172.8460000000005
RS-19765,Roland Schwarz,4159.769999999999
MY-18295,Muhammed Yedwab,4152.696000000001
PM-19135,Peter McVee,4115.662
SV-20785,Stewart Visinsky,4105.305
DM-13345,Denise Monton,4074.4720000000007
FP-14320,Frank Preis,4046.7460000000005
SP-20920,Susan Pistek,3990.6890000000003
CM-12715,Craig Molinari,3984.4524
MP-17965,Michael Paige,3983.6420000000003
SC-20305,Sean Christensen,3979.0649999999996
SJ-20125,Sanjit Jacobs,3949.6559999999995
LF-17185,Luke Foster,3930.509
PW-19240,Pierre Wener,3922.4149999999995
GA-14515,George Ashbrook,3919.7760000000003
KH-16630,Ken Heidel,3918.966
CC-12220,Chris Cortes,3913.418
DB-13555,Dorothy Badders,3908.8028
NP-18670,Nora Paige,3908.402
KC-16540,Kelly Collister,3908.2619999999997
FC-14335,Fred Chung,3889.3659999999995
BS-11380,Bill Stewart,3887.834
JS-15880,John Stevenson,3868.02
RA-19885,Ruben Ausman,3832.3139999999994
AT-10735,Annie Thurman,3831.8640000000005
OT-18730,Olvera Toch,3818.6240000000003
RO-19780,Rose O'Brian,3815.478
MC-17845,Michael Chen,3805.714000000001
MM-17920,Michael Moore,3794.08
CA-11965,Carol Adams,3789.7228
MG-17650,Matthew Grinstein,3785.276
MD-17350,Maribeth Dona,3766.382
JK-15625,Jim Karlsson,3760.028
JK-16090,Juliana Krohn,3747.6680000000006
FM-14290,Frank Merwin,3736.1979999999994
SC-20260,Scott Cohen,3729.7929999999997
HG-15025,Hunter Glantz,3690.284
BP-11185,Ben Peterman,3675.861
LP-17095,Liz Preis,3653.3990000000003
CS-12400,Christopher Schild,3651.8585000000007
EB-13705,Ed Braxton,3644.9780000000005
JP-15520,Jeremy Pistek,3635.5940000000005
SZ-20035,Sam Zeldin,3625.3289999999997
RH-19495,Rick Hansen,3621.3759999999997
TB-21175,Thomas Boland,3589.296
GM-14440,Gary McGarr,3582.8199999999997
DL-13495,Dionis Lloyd,3539.322
ES-14020,Erica Smith,3510.4579999999996
RW-19690,Robert Waldorf,3495.646
AG-10675,Anna Gayman,3489.0395999999996
ED-13885,Emily Ducich,3484.92
PW-19030,Pauline Webber,3454.916
SF-20200,Sarah Foster,3422.785999999999
FC-14245,Frank Carlisle,3418.742
SH-19975,Sally Hughsby,3406.8394999999996
SG-20080,Sandra Glassco,3406.581
TS-21655,Trudy Schmidt,3368.093999999999
SC-20020,Sam Craven,3362.9635999999996
VP-21760,Victoria Pisteka,3360.526
DJ-13630,Doug Jacobs,3356.3979999999997
DV-13465,Dianna Vittorini,3341.5870000000004
SF-20965,Sylvia Foulston,3336.535
DC-12850,Dan Campbell,3336.1680000000006
AP-10915,Arthur Prichep,3323.556
DK-13375,Dennis Kane,3318.4859999999994
KH-16330,Katharine Harms,3312.864
RF-19345,Randy Ferguson,3309.1500000000005
RR-19525,Rick Reed,3302.262
BD-11605,Brian Dahlen,3288.471
BS-11665,Brian Stugart,3288.11
RW-19630,Rob Williams,3279.7459999999996
DL-12925,Daniel Lacy,3272.2000000000003
DK-12835,Damala Kotsonis,3256.4800000000005
AS-10090,Adam Shillingsburg,3255.3099999999995
JO-15145,Jack O'Briant,3254.9490000000005
AH-10075,Adam Hart,3250.336999999999
HG-14965,Henry Goldwyn,3247.6419999999994
LC-16960,Lindsay Castell,3246.626
CT-11995,Carol Triggs,3241.898000000001
EB-13750,Edward Becker,3236.3139999999994
SR-20425,Sharelle Roach,3233.481
LW-16990,Lindsay Williams,3230.308
RS-19420,Ricardo Sperren,3221.29
AS-10285,Alejandro Savely,3214.236
MP-17470,Mark Packer,3206.132
CS-12355,Christine Sundaresam,3202.1620000000003
BT-11680,Brian Thompson,3196.7520000000004
DG-13300,Deirdre Greer,3195.818
JL-15505,Jeremy Lonsdale,3173.874
GM-14680,Greg Matthias,3163.628
JM-15250,Janet Martin,3159.1220000000003
CK-12205,Chloris Kastensmidt,3154.855
KB-16240,Karen Bern,3152.615
MS-17770,Maxwell Schwartz,3144.6779999999994
RD-19900,Ruben Dartt,3133.9239999999995
TN-21040,Tanja Norvell,3130.221
SN-20710,Steve Nguyen,3127.9592000000007
SG-20605,Speros Goranitis,3124.832000000001
KH-16360,Katherine Hughes,3100.6119999999996
PG-18820,Patrick Gardner,3086.907
EH-14125,Eugene Hildebrand,3082.6530000000002
GM-14455,Gary Mitchum,3078.6240000000003
EB-14110,Eugene Barchas,3071.1259999999997
MG-18145,Mike Gockenbach,3061.543
TG-21310,Toby Gnade,3058.3720000000003
KT-16465,Kean Takahito,3057.1
SS-20410,Shahid Shariari,3056.807
SL-20155,Sara Luxemburg,3053.012000000001
AS-10045,Aaron Smayling,3050.6920000000005
CA-12775,Cynthia Arntzen,3041.5659999999993
CS-11950,Carlos Soltero,3036.5469999999996
LS-16975,Lindsay Shagiari,2988.674
MH-18025,Michelle Huthwaite,2984.9480000000003
FA-14230,Frank Atkinson,2984.053999999999
DB-13120,David Bremer,2973.094
NS-18640,Noel Staavos,2964.8229999999994
TM-21010,Tamara Manning,2955.2259999999997
CK-12325,Christine Kargatis,2945.321
TH-21115,Thea Hudgings,2942.772
LT-17110,Liz Thompson,2936.2519999999995
BC-11125,Becky Castell,2933.6759999999995
JK-16120,Julie Kriz,2932.4840000000004
SW-20455,Shaun Weien,2921.544
ML-17410,Maris LaWare,2921.499999999999
RD-19585,Rob Dowd,2912.8940000000002
CY-12745,Craig Yedwab,2900.026
