customer_id,customer_name,order_id,product_name,sales
GH-14425,Gary Hwang,CA-2014-144414,GBC DocuBind P400 Electric Binding System,3266.376
FH-14365,Fred Hopkins,CA-2015-111829,Canon PC940 Copier,3149.93
TB-21520,Tracy Blumstein,US-2015-150630,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
KW-16435,Katrina Willman,CA-2015-102491,Cisco 9971 IP Video Phone Charcoal,3080.0
SB-20290,Sean Braxton,US-2014-106992,Lexmark MX611dhe Monochrome Laser Printer,3059.982
BW-11110,Bart Watters,CA-2017-159366,Lexmark MX611dhe Monochrome Laser Printer,3059.982
LC-16885,Lena Creighton,US-2015-163825,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3050.376
MC-17425,Mark Cousins,CA-2016-133711,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0
ME-17320,Maria Etezadi,CA-2016-160717,Samsung Galaxy Mega 6.3,3023.928
AD-10180,Alan Dominguez,CA-2017-127432,Canon Image Class D660 Copier,2999.95
JE-15610,Jim Epp,CA-2017-133263,Hewlett Packard LaserJet 3310 Copier,2999.95
SB-20185,Sarah Brown,CA-2015-149846,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973.32
BD-11500,Bradley Drucker,US-2017-105935,Samsung Galaxy Mega 6.3,2939.93
YC-21895,Yoseph Carroll,CA-2014-119375,Smead Adjustable Mobile File Trolley with Lockable Top,2934.33
SV-20365,Seth Vernon,CA-2017-100111,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2888.127
SC-20230,Scot Coram,US-2016-126452,Bretford CR8500 Series Meeting Room Furniture,2887.056
RM-19675,Robert Marley,CA-2017-145219,Hewlett Packard LaserJet 3310 Copier,2879.952
RP-19390,Resi Pölking,CA-2014-120474,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807.84
SC-20305,Sean Christensen,CA-2015-164777,HON 5400 Series Task Chairs for Big and Tall,2803.92
DM-13015,Darrin Martin,CA-2014-160766,Ativa V4110MDD Micro-Cut Shredder,2799.96
IM-15055,Ionia McGrath,CA-2016-129630,Canon PC1060 Personal Laser Copier,2799.96
NW-18400,Natalie Webber,US-2015-160857,Sharp AL-1530CS Digital Copier,2799.944
YS-21880,Yana Sorensen,CA-2017-119809,Fellowes PB300 Plastic Comb Binding Machine,2793.528
SA-20830,Sue Ann Reed,CA-2014-154627,Apple iPhone 5S,2735.952
MW-18235,Mitch Willingham,CA-2014-117639,Fellowes PB300 Plastic Comb Binding Machine,2715.93
DM-13345,Denise Monton,CA-2017-157854,GBC DocuBind TL300 Electric Binding System,2690.97
AS-10285,Alejandro Savely,US-2016-164196,Balt Solid Wood Round Tables,2678.94
LC-16960,Lindsay Castell,CA-2015-111038,GuestStacker Chair with Chrome Finish Legs,2676.672
SF-20200,Sarah Foster,CA-2017-123967,Hon 94000 Series Round Tables,2665.62
AT-10735,Annie Thurman,CA-2015-123113,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",2625.12
JL-15835,John Lee,CA-2014-127299,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624.985
ED-13885,Emily Ducich,CA-2015-160227,Hon Olson Stacker Chairs,2621.322
GK-14620,Grace Kelly,US-2016-116729,Samsung Galaxy Note 2,2575.944
BD-11320,Bill Donatelli,CA-2015-120677,Hon Pagoda Stacking Chairs,2567.84
JE-15715,Joe Elijah,CA-2016-169670,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2563.056
SR-20425,Sharelle Roach,CA-2017-134845,Lexmark MX611dhe Monochrome Laser Printer,2549.985
CL-12565,Clay Ludtke,CA-2015-135580,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2548.56
PW-19240,Pierre Wener,CA-2015-162782,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2541.98
RW-19540,Rick Wilson,CA-2017-166093,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,2518.29
JD-16150,Justin Deggeller,CA-2017-168858,Hoover Shoulder Vac Commercial Portable Vacuum,2504.74
JK-16090,Juliana Krohn,CA-2017-160885,ClearOne CHATAttach 160 - speaker phone,2479.96
JE-15745,Joel Eaton,CA-2015-139731,HON 5400 Series Task Chairs for Big and Tall,2453.43
MT-17815,Meg Tillman,CA-2016-104157,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",2430.08
HW-14935,Helen Wasserman,CA-2017-121559,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2405.2
TT-21070,Ted Trevino,CA-2017-122490,Global Troy Executive Leather Low-Back Tilter,2404.704
HR-14830,Harold Ryan,US-2017-135013,Hewlett Packard LaserJet 3310 Copier,2399.96
HK-14890,Heather Kirkland,US-2017-141677,Canon PC1080F Personal Copier,2399.96
LC-16930,Linda Cazamias,CA-2016-107202,Panasonic KX MB2061 Multifunction Printer,2396.4
AG-10675,Anna Gayman,CA-2016-108987,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656
JK-15640,Jim Kriz,CA-2017-168109,Okidata MB491 Multifunction Printer,2395.2
ES-14020,Erica Smith,US-2017-163300,GBC DocuBind 200 Manual Binding Machine,2357.488
PP-18955,Paul Prost,CA-2014-126683,"Bevis Oval Conference Table, Walnut",2348.82
Dp-13240,Dean percer,CA-2015-169796,Zebra ZM400 Thermal Label Printer,2321.9
RH-19495,Rick Hansen,CA-2015-124891,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65
CM-12655,Corinna Mitchell,US-2016-113677,Xiaomi Mi3,2279.96
AH-10690,Anna Häberlin,CA-2016-113831,Hon Rectangular Conference Tables,2275.5
TB-21175,Thomas Boland,CA-2017-143567,Logitech diNovo Edge Keyboard,2249.91
PM-19135,Peter McVee,US-2015-134558,Logitech diNovo Edge Keyboard,2249.91
TS-21205,Thomas Seio,CA-2017-119284,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),2239.936
LF-17185,Luke Foster,CA-2014-169019,GBC DocuBind P400 Electric Binding System,2177.584
NP-18670,Nora Paige,CA-2017-150091,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",2154.9
JD-15895,Jonathan Doherty,CA-2016-143805,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2104.55
DB-13270,Deborah Brumfield,CA-2016-163804,Deluxe Rollaway Locking File with Drawer,2079.4
RB-19795,Ross Baird,US-2017-110576,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2065.32
MZ-17515,Mary Zewe,CA-2014-128524,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2033.584
NF-18385,Natalie Fritzler,CA-2015-147830,Plantronics Savi W720 Multi-Device Wireless Headset System,2025.36
TW-21025,Tamara Willingham,CA-2015-137113,Global Troy Executive Leather Low-Back Tilter,2003.92
CM-12160,Charles McCrossin,CA-2016-155530,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,2003.52
LP-17095,Liz Preis,CA-2017-121790,Samsung Galaxy S4,2003.168
DW-13480,Dianna Wilson,CA-2014-131926,Global Deluxe High-Back Manager's Chair,2001.86
HG-15025,Hunter Glantz,CA-2014-163748,Hewlett Packard 610 Color Digital Copier / Printer,1999.96
CA-11965,Carol Adams,CA-2016-157791,Hewlett Packard 610 Color Digital Copier / Printer,1999.96
RA-19915,Russell Applegate,CA-2014-134313,ClearOne CHATAttach 160 - speaker phone,1983.968
DG-13300,Deirdre Greer,CA-2017-123372,Google Nexus 5,1979.89
JE-16165,Justin Ellison,CA-2016-114489,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
SP-20620,Stefania Perrino,US-2017-118087,Samsung Galaxy Note 2,1931.958
ND-18370,Natalie DeCherney,CA-2015-114069,Safco Contoured Stacking Chairs,1931.04
BE-11335,Bill Eplett,CA-2017-137596,Maxell iVDR EX 500GB Cartridge,1928.78
FC-14245,Frank Carlisle,CA-2016-147256,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,1927.59
RW-19690,Robert Waldorf,CA-2017-167752,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1924.16
CC-12145,Charles Crestani,CA-2015-121797,Bady BDG101FRU Card Printer,1919.976
HG-14965,Henry Goldwyn,US-2017-122714,Ibico EPK-21 Electric Binding System,1889.99
TT-21460,Tonja Turnell,CA-2017-141439,Samsung Galaxy S4 Mini,1879.96
VP-21760,Victoria Pisteka,CA-2017-159100,Balt Solid Wood Round Tables,1875.258
JK-15205,Jamie Kunitz,CA-2015-125976,Cisco SPA301,1871.88
SC-20050,Sample Company A,US-2014-131275,Tennsco 6- and 18-Compartment Lockers,1856.19
IM-15070,Irene Maddox,CA-2014-120768,High-Back Leather Manager's Chair,1819.86
DL-13495,Dionis Lloyd,US-2017-117723,Tennsco Single-Tier Lockers,1801.632
SM-20950,Suzanne McNair,CA-2014-122931,Tennsco Single-Tier Lockers,1801.632
JD-15790,John Dryer,CA-2015-134719,Tennsco Single-Tier Lockers,1801.632
JG-15115,Jack Garza,US-2014-135972,Canon PC1080F Personal Copier,1799.97
KT-16480,Kean Thornton,CA-2014-116666,Hewlett Packard LaserJet 3310 Copier,1799.97
AC-10450,Amy Cox,CA-2017-141789,GBC DocuBind TL300 Electric Binding System,1793.98
SC-20380,Shahid Collister,CA-2017-142090,Bush Advantage Collection Racetrack Conference Table,1781.682
BB-11545,Brenda Bowman,US-2017-118941,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1779.9
AJ-10780,Anthony Jacobs,CA-2014-141313,Hoover Upright Vacuum With Dirt Cup,1737.18
BH-11710,Brosina Hoffman,CA-2014-115812,Chromcraft Rectangular Conference Tables,1706.184
DJ-13630,Doug Jacobs,CA-2017-115602,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,1704.56
GB-14575,Giulietta Baptist,CA-2015-158421,Global Comet Stacking Arm Chair,1690.04
KM-16375,Katherine Murray,CA-2014-133592,Plantronics Savi W720 Multi-Device Wireless Headset System,1687.8
LW-16990,Lindsay Williams,US-2016-102239,Global Adaptabilities Conference Tables,1685.88
SP-20860,Sung Pak,US-2016-163881,Global Leather Executive Chair,1684.752
AI-10855,Arianne Irving,CA-2014-131387,Samsung Galaxy Mega 6.3,1679.96
RD-19480,Rick Duston,CA-2014-108147,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1676.88
CR-12580,Clay Rozendal,US-2017-105998,Chromcraft Round Conference Tables,1673.184
MC-17845,Michael Chen,CA-2017-148446,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,1669.6
MP-17965,Michael Paige,CA-2016-142335,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1652.94
MM-17920,Michael Moore,US-2016-121013,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",1652.94
NM-18520,Neoma Murray,CA-2016-153598,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1649.95
GZ-14545,George Zrebassa,US-2017-167318,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1649.95
BE-11410,Bobby Elias,CA-2016-125220,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,1649.75
FC-14335,Fred Chung,CA-2017-107517,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1640.7
TH-21550,Tracy Hopkins,US-2017-120390,GBC DocuBind P400 Electric Binding System,1633.188
BM-11650,Brian Moss,CA-2017-152912,Adjustable Depth Letter/Legal Cart,1633.14
TC-21295,Toby Carlisle,CA-2014-151330,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82
AR-10825,Anthony Rawles,CA-2017-118724,Polycom SoundPoint IP 450 VoIP phone,1626.192
SG-20605,Speros Goranitis,US-2015-127040,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),1619.91
JS-15880,John Stevenson,US-2015-126214,Bevis 36 x 72 Conference Tables,1618.37
DC-12850,Dan Campbell,CA-2017-128363,GBC DocuBind TL300 Electric Binding System,1614.582
AM-10705,Anne McFarland,CA-2014-145387,Hon Pagoda Stacking Chairs,1604.9
DJ-13510,Don Jones,CA-2016-128594,Global Troy Executive Leather Low-Back Tilter,1603.136
MA-17995,Michelle Arnett,CA-2016-152247,Global Troy Executive Leather Low-Back Tilter,1603.136
JF-15565,Jill Fjeld,CA-2016-102162,Canon PC-428 Personal Copier,1599.92
RO-19780,Rose O'Brian,CA-2015-155600,GBC Ibimaster 500 Manual ProClick Binding System,1598.058
BO-11350,Bill Overfelt,CA-2016-105207,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85
TP-21130,Theone Pippenger,CA-2017-120376,Hon GuestStacker Chair,1586.69
CP-12340,Christine Phan,US-2014-148838,Bretford Rectangular Conference Table Tops,1579.746
RD-19660,Robert Dilbeck,CA-2017-103877,GBC DocuBind 300 Electric Binding Machine,1577.94
AH-10210,Alan Hwang,CA-2017-146983,GBC DocuBind 300 Electric Binding Machine,1577.94
PV-18985,Paul Van Hugh,CA-2017-105914,Tennsco Double-Tier Lockers,1575.14
PC-18745,Pamela Coakley,CA-2014-150245,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1573.488
JO-15145,Jack O'Briant,US-2016-100461,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88
CB-12535,Claudia Bergmann,US-2016-165505,Iceberg Mobile Mega Data/Printer Cart ,1564.29
TH-21115,Thea Hudgings,CA-2016-125087,Tennsco 16-Compartment Lockers with Coat Rack,1554.936
SC-20260,Scott Cohen,CA-2015-111514,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1552.831
DB-13120,David Bremer,CA-2015-101889,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1548.99
SP-20920,Susan Pistek,CA-2016-124590,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1537.074
NC-18415,Nathan Cano,CA-2017-131254,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1525.188
EB-13750,Edward Becker,CA-2015-166947,Hon Every-Day Series Multi-Task Chairs,1522.638
ZC-21910,Zuschuss Carroll,CA-2015-115567,Hon Multipurpose Stacking Arm Chairs,1516.2
MH-18025,Michelle Huthwaite,CA-2017-103212,Bretford Rectangular Conference Table Tops,1504.52
TH-21100,Thea Hendricks,CA-2014-153850,Samsung Galaxy S4,1502.376
FM-14290,Frank Merwin,CA-2016-114867,LG G2,1499.97
EM-14140,Eugene Moren,CA-2016-139997,Hewlett Packard 310 Color Digital Copier,1499.95
MG-17680,Maureen Gastineau,US-2017-109316,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1497.666
AR-10405,Allen Rosenblatt,US-2017-134481,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424
BT-11305,Beth Thompson,CA-2014-166954,GuestStacker Chair with Chrome Finish Legs,1487.04
JL-15505,Jeremy Lonsdale,CA-2017-156776,3.6 Cubic Foot Counter Height Office Refrigerator,1473.1
JF-15415,Jennifer Ferguson,US-2017-142188,Ibico Ibimaster 300 Manual Binding System,1471.96
DJ-13420,Denny Joy,CA-2016-123540,Global Executive Mid-Back Manager's Chair,1454.9
IL-15100,Ivan Liston,CA-2017-143063,Aastra 57i VoIP phone,1454.49
GA-14515,George Ashbrook,CA-2015-155306,Hoover Upright Vacuum With Dirt Cup,1447.65
FO-14305,Frank Olsen,CA-2014-132612,Bevis 44 x 96 Conference Tables,1441.3
AS-10045,Aaron Smayling,CA-2017-162691,Bady BDG101FRU Card Printer,1439.982
CB-12415,Christy Brittain,CA-2016-147417,Hewlett Packard LaserJet 3310 Copier,1439.976
DF-13135,David Flashing,CA-2016-168032,Nokia Lumia 1020,1439.968
SL-20155,Sara Luxemburg,CA-2017-145884,Polycom VVX 310 VoIP phone,1439.92
GM-14680,Greg Matthias,CA-2014-103310,Wilson Electronics DB Pro Signal Booster,1432.0
MH-17455,Mark Hamilton,US-2016-143448,Global Commerce Series High-Back Swivel/Tilt Chairs,1424.9
SJ-20125,Sanjit Jacobs,CA-2017-105669,Polycom VoiceStation 500 Conference phone,1415.76
DE-13255,Deanra Eno,CA-2015-153381,Hon Olson Stacker Stools,1408.1
TM-21010,Tamara Manning,CA-2015-147788,O'Sullivan Living Dimensions 3-Shelf Bookcases,1406.86
SH-20635,Stefanie Holloman,CA-2014-124247,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1403.92
SF-20965,Sylvia Foulston,CA-2016-146913,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1403.92
CM-12235,Chris McAfee,CA-2016-155845,Logitech diNovo Edge Keyboard,1399.944
PJ-19015,Pauline Johnson,CA-2017-143686,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93
VD-21670,Valerie Dominguez,CA-2015-113145,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93
LD-17005,Lisa DeCherney,CA-2014-124856,"Dual Level, Single-Width Filing Carts",1395.54
AS-10225,Alan Schoenberger,CA-2014-110408,Avaya IP Phone 1140E VoIP phone,1394.95
BG-11035,Barry Gonzalez,CA-2015-141565,GBC Ibimaster 500 Manual ProClick Binding System,1369.764
OT-18730,Olvera Toch,CA-2016-107783,GBC Ibimaster 500 Manual ProClick Binding System,1369.764
TS-21430,Tom Stivers,CA-2014-111192,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",1367.84
JK-15730,Joe Kamberova,CA-2016-105256,Cisco Unified IP Phone 7945G VoIP phone,1363.96
RL-19615,Rob Lucas,CA-2016-144764,Okidata C610n Printer,1362.9
KL-16555,Kelly Lampkin,CA-2017-147760,Motorola Moto X,1359.96
AH-10465,Amy Hunt,CA-2015-141243,O'Sullivan Living Dimensions 5-Shelf Bookcases,1352.3976
MW-18220,Mitch Webber,CA-2014-125997,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,1349.91
EN-13780,Edward Nazzal,CA-2016-165848,Panasonic KX MC6040 Color Laser Multifunction Printer,1349.85
EM-13810,Eleni McCrary,CA-2015-113404,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,1348.704
ND-18460,Neil Ducich,CA-2017-107167,"24 Capacity Maxi Data Binder Racks, Pearl",1347.52
KH-16510,Keith Herrera,CA-2017-117457,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829
AG-10270,Alejandro Grove,CA-2016-105732,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",1336.44
RR-19525,Rick Reed,CA-2014-126403,Tennsco 6- and 18-Compartment Lockers,1325.85
BD-11605,Brian Dahlen,CA-2014-157147,Tennsco 6- and 18-Compartment Lockers,1325.85
CL-12700,Craig Leslie,CA-2016-149279,SAFCO Arco Folding Chair,1325.76
GM-14440,Gary McGarr,CA-2014-154893,SAFCO Arco Folding Chair,1325.76
AA-10645,Anna Andreadi,CA-2015-110863,Hon Olson Stacker Chairs,1323.9
DB-13060,Dave Brooks,CA-2014-128146,Wireless Extenders zBoost YX545 SOHO Signal Booster,1322.93
KC-16255,Karen Carlisle,US-2016-138408,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1319.96
ES-14080,Erin Smith,CA-2017-127397,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,1319.8
FP-14320,Frank Preis,CA-2016-111213,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1317.492
DL-12925,Daniel Lacy,US-2014-115196,"3D Systems Cube Printer, 2nd Generation, White",1299.99
BS-11665,Brian Stugart,CA-2016-101791,Standard Rollaway File with Lock,1297.368
SG-20080,Sandra Glassco,CA-2015-164882,Polycom SoundStation2 EX Conference phone,1295.84
DK-13225,Dean Katz,CA-2017-100650,Tennsco 16-Compartment Lockers with Coat Rack,1295.78
VM-21685,Valerie Mitchum,US-2016-150140,Nortel Meridian M5316 Digital phone,1294.75
EB-13705,Ed Braxton,CA-2016-128223,"Bush Cubix Conference Tables, Fully Assembled",1293.488
TB-21280,Toby Braunhardt,CA-2016-134887,Logitech P710e Mobile Speakerphone,1287.45
KB-16240,Karen Bern,CA-2017-162015,Logitech P710e Mobile Speakerphone,1287.45
PW-19030,Pauline Webber,CA-2017-116988,Logitech P710e Mobile Speakerphone,1287.45
AC-10615,Ann Chong,CA-2017-157987,Global Commerce Series High-Back Swivel/Tilt Chairs,1282.41
TN-21040,Tanja Norvell,CA-2016-109869,Bush Advantage Collection Racetrack Conference Table,1272.63
BF-11170,Ben Ferrer,CA-2016-159891,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99
JB-16045,Julia Barnett,CA-2016-139269,"Fellowes Strictly Business Drawer File, Letter/Legal Size",1267.65
PF-19165,Philip Fox,CA-2016-162355,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,1266.86
JG-15160,James Galang,CA-2015-157084,Plantronics Savi W720 Multi-Device Wireless Headset System,1265.85
RF-19345,Randy Ferguson,CA-2016-163167,"24 Capacity Maxi Data Binder Racks, Pearl",1263.3
RS-19765,Roland Schwarz,CA-2014-106726,Standard Rollaway File with Lock,1261.33
CD-11920,Carlos Daly,CA-2017-111556,Samsung Galaxy Mega 6.3,1259.97
KH-16630,Ken Heidel,CA-2015-109575,Polycom VVX 310 VoIP phone,1259.93
SS-20410,Shahid Shariari,CA-2015-119879,"Bevis Oval Conference Table, Walnut",1252.704
VW-21775,Victoria Wilson,CA-2017-128265,Deluxe Rollaway Locking File with Drawer,1247.64
NH-18610,Nicole Hansen,CA-2017-122693,Kensington 7 Outlet MasterPiece Power Center,1245.86
HP-14815,Harold Pawlan,CA-2017-111689,SAFCO Arco Folding Chair,1242.9
CA-12775,Cynthia Arntzen,CA-2014-140858,Global Leather Executive Chair,1228.465
CM-12715,Craig Molinari,CA-2015-133585,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1227.9984
MC-17590,Matt Collister,CA-2014-127446,Bretford CR4500 Series Slim Rectangular Table,1218.735
NP-18325,Naresj Patel,CA-2015-131338,GBC Ibimaster 500 Manual ProClick Binding System,1217.568
