customer_id,customer_name,highest_order_value
GM-14440,Gary McGarr,1325.76
AA-10645,Anna Andreadi,1323.9
DB-13060,Dave Brooks,1322.93
KC-16255,Karen Carlisle,1319.96
ES-14080,Erin Smith,1319.8
FP-14320,Frank Preis,1317.492
DL-12925,Daniel Lacy,1299.99
BS-11665,Brian Stugart,1297.368
SG-20080,Sandra Glassco,1295.84
DK-13225,Dean Katz,1295.78
VM-21685,Valerie Mitchum,1294.75
EB-13705,Ed Braxton,1293.488
KB-16240,Karen Bern,1287.45
PW-19030,Pauline Webber,1287.45
TB-21280,Toby Braunhardt,1287.45
AC-10615,Ann Chong,1282.41
TN-21040,Tanja Norvell,1272.63
BF-11170,Ben Ferrer,1270.99
JB-16045,Julia Barnett,1267.65
PF-19165,Philip Fox,1266.86
JG-15160,James Galang,1265.85
RF-19345,Randy Ferguson,1263.3
RS-19765,Roland Schwarz,1261.33
CD-11920,Carlos Daly,1259.97
KH-16630,Ken Heidel,1259.93
SS-20410,Shahid Shariari,1252.704
VW-21775,Victoria Wilson,1247.64
NH-18610,Nicole Hansen,1245.86
HP-14815,Harold Pawlan,1242.9
CA-12775,Cynthia Arntzen,1228.465
CM-12715,Craig Molinari,1227.9984
MC-17590,Matt Collister,1218.735
NP-18325,Naresj Patel,1217.568
SW-20455,Shaun Weien,1217.568
RA-19885,Ruben Ausman,1215.92
TS-21610,Troy Staebel,1212.96
KH-16360,Katherine Hughes,1207.84
CC-12610,Corey Catlett,1202.94
EB-14110,Eugene Barchas,1199.976
LR-16915,Lena Radford,1199.976
RA-19285,Ralph Arnett,1199.96
EK-13795,Eileen Kiefer,1198.33
LL-16840,Lauren Leatherbury,1196.86
AJ-10795,Anthony Johnson,1194.165
CV-12295,Christina VanderZanden,1184.72
MH-18115,Mick Hernandez,1169.694
SC-20440,Shaun Chance,1158.12
MH-17620,Matt Hagelstein,1145.6
PK-18910,Paul Knutson,1141.47
CK-12325,Christine Kargatis,1139.92
KN-16705,Kristina Nunn,1137.75
RS-19420,Ricardo Sperren,1133.35
CH-12070,Cathy Hwang,1127.976
TG-21640,Trudy Glocke,1125.488
JL-15850,John Lucas,1119.984
BP-11185,Ben Peterman,1119.888
AW-10930,Arthur Wiediger,1117.92
MP-18175,Mike Pelletier,1117.92
MG-18145,Mike Gockenbach,1115.91
SC-20725,Steven Cartwright,1114.4
RW-19630,Rob Williams,1114.272
BS-11590,Brendan Sweed,1113.024
LB-16795,Laurel Beltran,1112.94
BT-11395,Bill Tyler,1106.91
PF-19225,Phillip Flathmann,1101.48
GD-14590,Giulietta Dortch,1099.5
GH-14485,Gene Hale,1097.544
MG-17650,Matthew Grinstein,1091.168
JP-15520,Jeremy Pistek,1089.75
DH-13075,Dave Hallsten,1087.936
MD-17350,Maribeth Dona,1080.096
RB-19705,Roger Barcio,1079.85
TB-21625,Trudy Brown,1079.316
KN-16450,Kean Nguyen,1075.088
LC-17140,Logan Currie,1071.0
PM-18940,Paul MacIntyre,1056.86
MY-18295,Muhammed Yedwab,1049.97
RD-19585,Rob Dowd,1049.93
EJ-13720,Ed Jacobs,1049.44
LS-16975,Lindsay Shagiari,1049.2
RB-19465,Rick Bensley,1049.2
FM-14215,Filia McAdams,1048.35
EB-13870,Emily Burns,1044.63
SG-20470,Sheri Gordon,1044.63
MK-17905,Michael Kennedy,1043.92
JP-15460,Jennifer Patt,1040.8
CK-12205,Chloris Kastensmidt,1039.992
JO-15280,Jas O'Carroll,1038.84
BF-11020,Barry Französisch,1035.8
JM-15265,Janet Molinari,1029.95
GR-14560,Georgia Rosenberg,1025.88
AS-10090,Adam Shillingsburg,1024.38
AG-10900,Arthur Gainer,1023.936
BP-11230,Benjamin Patterson,1022.97
TG-21310,Toby Gnade,1016.792
KB-16585,Ken Black,1013.832
TD-20995,Tamara Dahlen,1013.488
PO-19180,Philisse Overcash,1007.979
PC-19000,Pauline Chand,1004.976
GH-14410,Gary Hansen,1001.584
NP-18685,Nora Pelletier,999.98
CB-12025,Cassandra Brandow,999.432
BT-11680,Brian Thompson,998.85
CC-12685,Craig Carroll,991.2
BP-11155,Becky Pak,989.97
KM-16720,Kunst Miller,979.95
MN-17935,Michael Nguyen,979.95
MC-17275,Marc Crier,975.92
GZ-14470,Gary Zandusky,971.5
DP-13105,Dave Poirier,968.744
KT-16465,Kean Takahito,966.7
DK-13375,Dennis Kane,965.85
CS-11845,Cari Sayre,963.136
JW-16075,Julia West,962.08
AH-10195,Alan Haines,961.48
DB-13615,Doug Bickford,959.984
DK-13090,Dave Kipp,959.984
SU-20665,Stephanie Ulpright,959.984
EB-13975,Erica Bern,959.968
SO-20335,Sean O'Donnell,957.5775
EP-13915,Emily Phan,956.6648
SV-20815,Stuart Van,946.344
SH-20395,Shahid Hopkins,945.036
DB-13555,Dorothy Badders,942.784
JL-15130,Jack Lebron,934.956
FH-14275,Frank Hawley,931.176
CC-12670,Craig Carreira,917.9235
DB-12910,Daniel Byrd,915.136
NF-18595,Nicole Fjeld,915.136
TS-21655,Trudy Schmidt,913.43
CA-12265,Christina Anderson,912.75
MD-17860,Michael Dominguez,909.12
JM-15250,Janet Martin,908.82
BS-11380,Bill Stewart,906.68
CR-12730,Craig Reiter,904.9
MC-18130,Mike Caudle,902.712
EJ-14155,Eva Jacobs,901.95
JK-16120,Julie Kriz,900.08
DV-13465,Dianna Vittorini,899.95
DR-12880,Dan Reichenbach,899.91
AB-10600,Ann Blume,899.136
MP-17470,Mark Packer,899.136
AT-10435,Alyssa Tate,896.328
CY-12745,Craig Yedwab,895.944
WB-21850,William Brown,895.92
BT-11530,Bradley Talbott,892.224
DB-13210,Dean Braden,887.271
NS-18505,Neola Schneider,887.271
DP-13165,David Philippe,883.92
LT-17110,Liz Thompson,881.93
SW-20275,Scott Williamson,881.93
ER-13855,Elpida Rittenbach,876.3
DK-12835,Damala Kotsonis,872.94
CT-11995,Carol Triggs,872.32
CD-12790,Cynthia Delaney,868.59
DB-12970,Darren Budd,866.646
LC-17050,Liz Carlisle,866.4
MV-18190,Mike Vittorini,863.928
JR-15700,Jocasta Rupert,863.88
RD-19900,Ruben Dartt,862.344
KD-16345,Katherine Ducich,861.76
DK-12895,Dana Kaydos,860.93
FA-14230,Frank Atkinson,859.2
SB-20170,Sarah Bern,858.24
CV-12805,Cynthia Voltz,856.656
LS-16945,Linda Southworth,854.352
BE-11455,Brad Eason,848.544
JH-16180,Justin Hirsh,845.728
BG-11695,Brooke Gillingham,845.488
SV-20785,Stewart Visinsky,844.116
JK-15625,Jim Karlsson,843.9
AP-10915,Arthur Prichep,842.94
DN-13690,Duane Noonan,842.72
JL-15175,James Lanier,842.376
JF-15355,Jay Fein,842.352
AH-10075,Adam Hart,841.568
NZ-18565,Nick Zandusky,838.38
MS-17770,Maxwell Schwartz,837.6
MG-17695,Maureen Gnade,835.17
KH-16330,Katharine Harms,833.94
ML-17410,Maris LaWare,832.93
RK-19300,Ralph Kennedy,831.2
PJ-18835,Patrick Jones,826.11
JM-16195,Justin MacKendrick,826.0
GM-14455,Gary Mitchum,824.95
ZD-21925,Zuschuss Donatelli,823.96
SC-20680,Steve Carroll,821.94
EB-14170,Evan Bailliet,807.75
BW-11200,Ben Wallace,806.336
ME-18010,Michelle Ellison,801.568
MY-17380,Maribeth Yedwab,801.568
MA-17560,Matt Abelman,799.984
FH-14350,Fred Harton,799.96
JM-15535,Jessica Myrick,799.56
MG-17875,Michael Grace,796.425
DM-12955,Dario Medina,795.408
LR-17035,Lisa Ryan,791.964
JC-15385,Jenna Caffey,786.48
JS-15595,Jill Stevenson,783.96
CL-11890,Carl Ludwig,782.94
BS-11755,Bruce Stewart,779.796
MH-17290,Marc Harrigan,776.85
DM-13525,Don Miller,772.68
JE-15475,Jeremy Ellison,772.47
TB-21190,Thomas Brumley,767.214
MM-18055,Michelle Moray,765.625
MC-18100,Mick Crebagga,763.28
SN-20560,Skye Norling,762.594
LW-17125,Liz Willingham,756.8
VB-21745,Victoria Brennan,756.8
TB-21595,Troy Blackwell,754.45
JL-15235,Janet Lee,751.984
SJ-20500,Shirley Jackson,751.92
EH-14125,Eugene Hildebrand,748.752
CS-12400,Christopher Schild,743.988
RB-19435,Richard Bierner,735.98
CG-12520,Claire Gute,731.94
MH-17785,Maya Herman,730.2
NC-18625,Noah Childs,727.45
HZ-14950,Henia Zydlo,723.92
MO-17800,Meg O'Connel,723.92
MO-17500,Mary O'Rourke,722.352
DV-13045,Darrin Van Huff,721.875
SC-20770,Stewart Carmichael,718.116
KD-16615,Ken Dana,717.72
JR-16210,Justin Ritter,717.12
SC-20695,Steve Chapman,714.3
JC-15775,John Castell,705.544
NC-18340,Nat Carroll,704.76
RH-19555,Ritsa Hightower,704.76
JG-15805,John Grady,704.25
ME-17725,Max Engle,701.96
RP-19855,Roy Phan,699.98
AC-10420,Alyssa Crouse,698.352
JG-15310,Jason Gross,695.16
BF-11215,Benjamin Farhat,692.94
HR-14770,Hallie Redmond,687.4
CC-12475,Cindy Chapman,686.4
PH-18790,Patricia Hirasaki,683.952
BC-11125,Becky Castell,681.408
CM-12115,Chad McGuire,677.58
BD-11725,Bruce Degenhardt,675.06
MC-17605,Matt Connell,674.058
HA-14920,Helen Andreada,671.93
AH-10030,Aaron Hawkins,668.16
ML-17755,Max Ludwig,663.936
TS-21505,Tony Sayre,662.88
AF-10870,Art Ferguson,662.84
BF-11005,Barry Franz,659.976
Dl-13600,Dorris liebe,658.746
RB-19330,Randy Bradley,657.93
CK-12760,Cyma Kinney,652.45
TP-21565,Tracy Poddar,650.352
SC-20575,Sonia Cooley,647.84
LM-17065,Liz MacKendrick,646.776
CS-12250,Chris Selesnick,646.74
DK-12985,Darren Koutras,646.2
BV-11245,Benjamin Venier,643.136
LE-16810,Laurel Elliston,641.96
LH-16900,Lena Hernandez,638.82
AJ-10945,Ashley Jarboe,638.73
BP-11290,Beth Paige,638.288
CC-12220,Chris Cortes,637.896
SZ-20035,Sam Zeldin,637.44
VF-21715,Vicky Freymann,634.116
TB-21250,Tim Brockman,631.96
MM-17260,Magdelene Morse,631.782
GW-14605,Giulietta Weimer,631.176
ON-18715,Odella Nelson,630.024
SK-19990,Sally Knutson,629.958
KB-16600,Ken Brennan,629.95
GM-14500,Gene McClure,629.93
CC-12100,Chad Cunningham,627.168
MB-18085,Mick Brown,627.168
RD-19930,Russell D'Ascenzo,623.96
DS-13180,David Smith,622.45
CS-12355,Christine Sundaresam,619.95
CM-12190,Charlotte Melton,607.52
LS-17200,Luke Schmidt,605.34
PO-18865,Patrick O'Donnell,604.752
PB-19105,Peter Bühler,604.656
TZ-21580,Tracy Zic,603.92
VS-21820,Vivek Sundaresam,602.651
KM-16225,Kalyca Meade,601.65
JS-16030,Joy Smith,600.558
EA-14035,Erin Ashbrook,599.99
KE-16420,Katrina Edelman,599.9
KN-16390,Katherine Nockton,598.458
TS-21160,Theresa Swint,595.38
ML-18040,Michelle Lonsdale,595.0
PG-18820,Patrick Gardner,595.0
DB-13660,Duane Benoit,594.816
CW-11905,Carl Weiss,592.74
NL-18310,Nancy Lomonaco,590.352
JR-15670,Jim Radford,590.058
EH-14185,Evan Henry,588.784
CS-11950,Carlos Soltero,585.552
BP-11095,Bart Pistole,583.8
NG-18355,Nat Gilpin,579.51
HA-14905,Helen Abelman,579.136
SW-20755,Steven Ward,579.136
SC-20020,Sam Craven,577.584
LW-16825,Laurel Workman,575.92
JK-15370,Jay Kimmel,573.174
EM-13960,Eric Murdock,572.8
CM-11815,Candace McMahon,572.58
MK-18160,Mike Kennedy,571.44
PR-18880,Patrick Ryan,568.728
PN-18775,Parhena Norris,563.94
VT-21700,Valerie Takahito,563.808
BP-11050,Barry Pond,563.4
CS-12490,Cindy Schnelling,562.2925
AG-10525,Andy Gerbode,559.71
Co-12640,Corey-Lock,558.4
AZ-10750,Annie Zypern,557.728
HF-14995,Herbert Flentye,556.665
SV-20935,Susan Vittorini,552.0
MF-17665,Maureen Fritzler,551.985
VP-21730,Victor Preis,546.06
TM-21490,Tony Molinari,543.92
RM-19375,Raymond Messe,542.94
EG-13900,Emily Grady,542.646
SH-19975,Sally Hughsby,541.24
NG-18430,Nathan Gelder,540.048
TT-21220,Thomas Thornton,537.544
SN-20710,Steve Nguyen,532.3992
DB-13405,Denny Blanton,526.45
EB-13930,Eric Barreto,526.344
AR-10345,Alex Russell,523.764
RR-19315,Ralph Ritter,520.464
RF-19735,Roland Fjeld,519.96
CC-12430,Chuck Clark,518.272
SW-20350,Sean Wendt,517.9
AG-10495,Andrew Gjertsen,516.96
MT-18070,Michelle Tran,514.165
CA-12055,Cathy Armstrong,513.024
TC-21145,Theresa Coyne,512.96
RA-19945,Ryan Akin,505.176
HM-14980,Henry MacAllister,503.96
NR-18550,Nick Radford,503.96
PG-18895,Paul Gonzalez,503.96
BS-11800,Bryan Spruell,501.81
AA-10375,Allen Armold,499.98
EM-14095,Eudokia Martin,494.97
MF-18250,Monica Federle,494.97
EM-13825,Elizabeth Moffitt,492.768
MS-17710,Maurice Satty,491.55
BG-11740,Bruce Geld,486.368
DL-12865,Dan Lawera,483.136
DW-13585,Dorothy Wardle,482.94
CA-12310,Christine Abelman,481.32
JP-16135,Julie Prescott,481.32
JB-15925,Joni Blumstein,479.988
AB-10255,Alejandro Ballentine,479.984
CS-11860,Cari Schnelling,479.984
KB-16315,Karl Braun,479.984
AA-10480,Andrew Allen,479.97
AB-10150,Aimee Bixby,479.97
ML-17395,Marina Lichtenstein,479.97
BM-11785,Bryan Mills,475.944
PB-19150,Philip Brown,464.85
SP-20545,Sibella Parks,459.95
NS-18640,Noel Staavos,458.43
BN-11515,Bradley Nguyen,454.9
TS-21340,Toby Swindell,454.86
JO-15550,Jesus Ocampo,453.576
LP-17080,Liz Pelletier,451.152
CM-11935,Carlos Meador,451.136
AJ-10960,Astrea Jones,449.15
MC-17635,Matthew Clasen,449.15
DC-13285,Debra Catini,447.944
FG-14260,Frank Gastineau,447.86
CG-12040,Catherine Glotzbach,447.696
CR-12820,Cyra Reiten,438.336
AP-10720,Anne Pryor,437.472
RH-19600,Rob Haberlin,435.504
GG-14650,Greg Guthrie,435.168
DB-13360,Dennis Bolton,434.646
SM-20905,Susan MacKendrick,431.976
CK-12595,Clytie Kelty,431.16
KB-16405,Katrina Bavinger,419.4
RD-19810,Ross DeVincentis,419.4
MV-17485,Mark Van Huff,415.872
JF-15190,Jamie Frazer,415.176
SS-20140,Saphhira Shifley,411.98
TC-21475,Tony Chapman,411.8
DH-13675,Duane Huffman,411.332
DK-13150,David Kendrick,408.744
MB-17305,Maria Bertelson,408.006
PS-18760,Pamela Stobb,399.54
EH-14005,Erica Hernandez,398.352
DL-13330,Denise Leinenbach,393.54
KC-16675,Kimberly Carter,390.272
FM-14380,Fred McMath,389.97
TC-21535,Tracy Collins,389.97
JS-15685,Jim Sink,389.056
JB-15400,Jennifer Braxton,387.99
AH-10585,Angele Hood,383.96
JM-15655,Jim Mitchum,383.952
RF-19840,Roy Französisch,383.64
NB-18655,Nona Balk,383.438
TH-21235,Tiffany House,381.576
AH-10120,Adrian Hane,377.45
DO-13435,Denny Ordway,375.4575
MZ-17335,Maria Zettner,371.97
IG-15085,Ivan Gibson,370.14
RP-19270,Rachel Payne,369.1992
DP-13000,Darren Powers,368.91
DL-13315,Delfina Latchford,361.92
BF-11275,Beth Fritzler,361.376
PS-18970,Paul Stevenson,359.32
BT-11485,Brad Thomas,355.96
MC-17575,Matt Collins,353.88
BT-11440,Bobby Trafton,353.568
AF-10885,Art Foster,349.965
MR-17545,Mathew Reese,347.97
BB-10990,Barry Blumstein,344.704
PO-19195,Phillina Ober,344.372
AB-10015,Aaron Bergman,341.96
CS-12130,Chad Sievert,340.144
LC-16870,Lena Cacioppo,339.96
PA-19060,Pete Armstrong,339.96
LH-17155,Logan Haushalter,338.04
XP-21865,Xylona Preis,337.088
AS-10630,Ann Steele,336.51
BD-11620,Brian DeCherney,333.09
GA-14725,Guy Armstrong,332.94
VG-21805,Vivek Grady,331.536
RC-19825,Roy Collins,328.224
EH-13990,Erica Hackney,327.996
JB-16000,Joy Bell-,327.7328
BW-11065,Barry Weirich,324.744
TT-21265,Tim Taslimi,323.1
KA-16525,Kelly Andreada,321.568
TB-21055,Ted Butterfield,319.41
CD-11980,Carol Darley,318.96
DW-13195,David Wiener,318.43
SJ-20215,Sarah Jordon,317.058
BF-10975,Barbara Fisher,314.55
HG-14845,Harry Greene,314.352
AW-10840,Anthony Witt,310.88
JJ-15445,Jennifer Jackson,307.98
JW-15955,Joni Wasserman,304.45
AB-10165,Alan Barnes,304.23
DO-13645,Doug O'Connell,302.94
TB-21355,Todd Boyes,302.94
JH-15910,Jonathan Howell,302.376
MS-17530,MaryBeth Skach,301.96
EM-14200,Evan Minnotte,298.116
JC-16105,Julie Creighton,292.272
JF-15490,Jeremy Farry,291.168
SS-20875,Sung Shariari,290.352
CR-12625,Corey Roper,289.2
CS-12460,Chuck Sachs,287.97
CS-12175,Charles Sheldon,285.48
NK-18490,Neil Knudson,284.08
LS-17245,Lynn Smith,279.96
SP-20650,Stephanie Phelps,279.96
SS-20515,Shirley Schmidt,279.86
TR-21325,Toby Ritter,278.4
RC-19960,Ryan Crowe,275.49
LH-16750,Larry Hughes,271.96
NF-18475,Neil Französisch,269.98
RD-19720,Roger Demir,268.704
JK-15325,Jason Klamczynski,267.96
MS-17980,Michael Stewart,255.968
SF-20065,Sandra Flanagan,254.9
JS-15940,Joni Sundaresam,254.744
EC-14050,Erin Creighton,249.95
LO-17170,Lori Olson,247.44
DS-13030,Darrin Sayre,242.94
GB-14530,George Bell,241.92
MH-17440,Mark Haberlin,241.5
BD-11770,Bryan Davis,240.784
AM-10360,Alice McCarthy,239.97
RE-19450,Richard Eichhorn,239.9
MS-17830,Melanie Seite,239.372
SW-20245,Scot Wooten,239.358
SC-20845,Sung Chung,237.096
BD-11635,Brian Derr,232.4
BM-11575,Brendan Murry,231.98
AG-10300,Aleksandra Gannaway,230.28
JH-15820,John Huston,228.92
JD-16060,Julia Dunbar,221.16
JF-15295,Jason Fortune-,220.96
BK-11260,Berenike Kampe,214.95
KW-16570,Kelly Williams,212.94
VG-21790,Vivek Gonzalez,211.168
MM-18280,Muhammed MacIntyre,207.984
AC-10660,Anna Chung,201.584
LT-16765,Larry Tron,201.584
SS-20590,Sonia Sunley,199.99
PB-18805,Patrick Bzostek,199.9
RB-19570,Rob Beeghly,198.744
